days,count
1371772800,14
1371859200,9
1371945600,2
1372032000,4
1372118400,14
1372204800,10
1372291200,30
1372377600,8
1372464000,3
1372550400,16
1372636800,26
1372723200,10
1372809600,3
1372896000,4
1372982400,8
1373068800,12
1373155200,6
1373328000,4
1373587200,1
1373673600,3
1373760000,1
1373846400,4
1373932800,4
1374019200,4
1374105600,3
1374192000,5
1374278400,2
1374364800,1
1374624000,7
1374710400,9
1374796800,8
1374883200,4
1374969600,5
1375056000,2
1375142400,4
1375228800,8
1375401600,3
1375488000,1
1375574400,7
1375660800,35
1375747200,11
1375833600,1
1375920000,3
1376179200,3
1376352000,3
1376438400,1
1376611200,1
1376784000,19
1376870400,2
1376956800,2
1377043200,1
1377129600,10
1377216000,4
1377302400,3
1377388800,3
1377475200,6
1377561600,1
1377648000,5
1377734400,1
1377820800,13
1377907200,12
1377993600,7
1378080000,4
1378166400,7
1378252800,3
1378339200,4
1378425600,2
1378512000,1
1378598400,2
1378684800,6
1378771200,22
1378857600,2
1378944000,1
1379116800,5
1379203200,4
1379376000,4
1379462400,5
1379548800,1
1379635200,4
1379721600,4
1379808000,5
1379980800,12
1380067200,5
1380153600,9
1380240000,4
1380326400,15
1380412800,3
1380499200,1
1380585600,7
1380672000,2
1380758400,5
1380844800,6
1380931200,23
1381017600,22
1381104000,9
1381190400,10
1381276800,24
1381363200,2
1381449600,7
1381536000,13
1381622400,7
1381708800,6
1381795200,19
1381881600,28
1381968000,5
1382054400,3
1382140800,4
1382227200,3
1382313600,10
1382400000,12
1382486400,8
1382572800,13
1382659200,2
1382745600,8
1382832000,8
1382918400,1
1383004800,6
1383091200,26
1383177600,11
1383264000,5
1383350400,11
1383436800,7
1383523200,5
1383609600,2
1383696000,4
1383782400,10
1383868800,14
1383955200,2
1384041600,1
1384300800,6
1384387200,4
1384473600,3
1384560000,9
1384646400,7
1384732800,2
1384819200,12
1384992000,3
1385078400,1
1385164800,3
1385251200,5
1385337600,2
1385424000,16
1385510400,9
1385596800,3
1385683200,16
1385769600,12
1385856000,22
1385942400,11
1386028800,32
1386115200,18
1386201600,42
1386288000,12
1386374400,21
1386460800,18
1386547200,64
1386633600,10
1386720000,6
1386806400,10
1386892800,6
1386979200,9
1387065600,13
1387152000,6
1387238400,9
1387324800,13
1387411200,14
1387497600,27
1387584000,29
1387670400,31
1387756800,19
1387843200,15
1387929600,20
1388016000,2
1388102400,10
1388188800,21
1388275200,11
1388361600,33
1388448000,11
1388534400,5
1388620800,2
1388793600,7
1388880000,3
1388966400,5
1389052800,5
1389139200,3
1389398400,4
1389484800,10
1389571200,17
1389657600,6
1389744000,15
1389830400,3
1389916800,6
1390003200,7
1390089600,12
1390176000,12
1390262400,14
1390348800,9
1390435200,12
1390521600,5
1390608000,16
1390694400,7
1390780800,13
1390953600,4
1391040000,2
1391126400,1
1391212800,28
1391299200,31
1391385600,15
1391472000,5
1391558400,5
1391644800,7
1391731200,7
1391817600,6
1391904000,25
1391990400,16
1392076800,15
1392163200,21
1392249600,9
1392336000,13
1392422400,16
1392508800,20
1392595200,25
1392681600,17
1392768000,5
1392854400,9
1392940800,4
1393027200,23
1393113600,10
1393200000,17
1393286400,9
1393372800,1
1393459200,11
1393545600,5
1393632000,9
1393718400,23
1393804800,7
1393891200,20
1393977600,12
1394064000,22
1394150400,13
1394236800,14
1394323200,25
1394409600,14
