pos_y,ecc,hits,rms_trans,pos_x
10.27,1.201,351,2.136,7.318
4.572,1.755,16,1.145,10.39
6.097,3.694,662,0.8526,6.699
8.735,2.507,65,1.22,4.861
11.84,2.829,59,0.796,9.667
3.853,5.221,144,0.5617,4.85
6.133,3.079,92,1.017,5.788
9.391,2.463,108,1.125,3.059
5.469,3.015,198,0.677,5.317
12.13,1.577,29,0.5792,12.23
5.438,5.401,110,0.768,6.866
10.79,5.746,126,0.6637,5.648
2.695,2.86,148,0.9445,10.17
6.466,7.696,100,0.4466,7.184
3.141,3.4,49,0.4881,4.013
4.499,4.267,158,0.7903,9.934
1.349,2.338,2900,0.6468,11.42
11.96,2.048,57,0.7457,5.151
7.007,2.648,94,1.288,6.512
10.53,4.272,159,0.7498,6.236
2.571,3.11,24,0.5248,10.95
5.787,1.305,1491,1.228,9.606
6.586,7.95,195,0.4173,6.499
8.435,6.935,223,0.6699,5.893
12.75,1.561,18,0.2209,1.253
2.105,1.099,165,1.101,11.95
3.426,6.922,95,0.2979,4.097
13.09,1.59,6,0.2187,3.034
11.08,3.411,273,0.2741,6.771
1.343,1.598,12,0.4883,1.6
6.356,5.928,87,0.6628,4.759
1.049,4.107,31,0.5109,3.665
3.386,2.838,76,0.7348,10.59
6.659,3.891,130,0.9202,4.229
8.726,14.17,39,0.2443,6.451
1.762,1.851,15,0.5687,11.29
10.36,3.465,121,0.9848,7.872
6.505,3.399,167,1.092,7.244
1.443,1.473,19,0.5741,2.028
4.977,2.619,236,1.311,7.147
9.955,4.414,115,0.4993,4.841
11.82,2.989,11,0.1878,0.8625
2.363,4.088,95,0.732,6.985
1.694,1.341,13,0.5991,12.5
4.726,5.733,189,0.6599,6.79
5.487,2.984,261,0.8117,6.35
12.5,7.264,111,0.4577,7.568
12.81,5.468,4095,0.7351,7.448
12.09,3.045,38,0.3673,9.881
1.645,2.478,27,0.5579,10.65
1.675,5.374,135,0.4203,6.299
1.535,1.294,17,0.06937,13.59
10.6,4.132,87,0.8903,5.494
4.623,2.285,223,1.493,7.516
7.317,3.64,113,0.3847,3.477
5.94,3.952,400,1.146,6.822
10.57,2.873,78,0.9652,9.397
5.872,5.24,281,0.8561,9.388
10.76,2.101,26,0.8054,6.416
11.3,6.143,69,0.5665,6.369
1.591,1.788,74,0.6937,3.27
9.801,6.239,47,0.3118,5.777
9.294,3.966,61,0.5679,11.25
6.867,3.304,154,1.019,9.172
11.74,2.145,43,0.7987,11.62
3.818,2.73,156,1.057,6.746
4.194,2.093,8,0.4824,12.57
4.403,3.474,165,1.033,6.548
12.77,2.15,7,0.1933,12.56
1.167,2.762,7,0.2529,12.66
5.587,3.423,82,1.182,6.831
5.792,6.967,145,0.5631,5.826
1.919,1.76,28,0.8522,8.423
5.755,13.72,118,0.2829,8.613
10.9,3.973,121,0.9188,6.598
7.732,1.467,234,2.898,8.603
10.18,4.924,102,0.6186,10.41
9.369,6.057,92,0.6093,8.639
1.298,3.706,47,0.669,3.867
3.353,3.548,132,0.8968,6.628
11,2.644,32,0.6567,2.32
2.42,3.312,161,0.862,7.589
1.952,4.235,12,0.2338,1.448
3.611,2.031,95,1.952,7.281
3.803,7.595,116,0.2452,6.386
10.21,4.854,7,0.1643,11.85
7.281,2.107,156,1.483,6.043
5.501,6.464,83,0.5738,10.83
7.641,16.02,73,0.2236,3.603
7.092,1.561,300,2.323,6.764
7.257,3.132,87,1.201,5.06
8.917,1.607,223,2.368,7.456
7.94,3.093,177,1.064,8.414
5.189,1.317,185,1.195,4.63
